height,weight,label
174,127,fat
167,85,fat
165,186,fat
183,159,fat
182,192,fat
195,121,fat
172,137,fat
169,69,normal
151,54,normal
192,109,fat
174,109,fat
180,73,normal
194,168,fat
176,182,fat
170,80,fat
166,143,fat
176,48,thin
159,47,normal
178,64,normal
183,113,fat
165,75,fat
163,66,normal
199,176,fat
174,166,fat
181,113,fat
188,58,thin
162,72,fat
164,132,fat
183,100,fat
183,128,fat
200,83,normal
158,88,fat
198,176,fat
156,96,fat
166,43,thin
184,174,fat
178,62,normal
181,193,fat
183,82,normal
186,199,fat
153,146,fat
169,40,thin
181,133,fat
172,137,fat
155,54,normal
184,168,fat
179,178,fat
200,175,fat
175,174,fat
150,164,fat
173,141,fat
159,41,thin
171,53,thin
183,194,fat
167,114,fat
164,111,fat
176,106,fat
182,135,fat
183,55,thin
199,46,thin
168,128,fat
194,108,fat
172,56,normal
191,66,thin
152,64,fat
159,51,normal
188,73,normal
158,163,fat
184,77,normal
161,175,fat
172,92,fat
175,39,thin
192,72,normal
168,152,fat
186,151,fat
194,118,fat
198,77,normal
166,37,thin
168,145,fat
198,146,fat
163,78,fat
151,194,fat
172,126,fat
168,59,normal
189,160,fat
173,141,fat
172,118,fat
152,179,fat
169,172,fat
183,194,fat
185,37,thin
169,194,fat
185,115,fat
158,49,normal
170,96,fat
184,87,fat
157,57,normal
154,191,fat
161,145,fat
193,122,fat
167,46,thin
177,91,fat
173,116,fat
171,48,thin
190,115,fat
192,157,fat
163,91,fat
189,52,thin
156,157,fat
181,76,normal
182,86,fat
193,154,fat
184,134,fat
195,121,fat
162,69,fat
187,78,normal
183,155,fat
195,149,fat
159,64,fat
162,140,fat
163,80,fat
166,194,fat
154,118,fat
180,150,fat
183,58,thin
177,135,fat
162,78,fat
186,80,normal
191,182,fat
159,56,normal
184,77,normal
196,118,fat
190,185,fat
192,78,normal
152,94,fat
180,159,fat
197,70,thin
160,57,normal
179,190,fat
194,178,fat
185,93,fat
159,161,fat
200,72,thin
167,167,fat
185,187,fat
165,169,fat
190,101,fat
166,55,normal
175,76,normal
185,104,fat
184,181,fat
192,42,thin
177,188,fat
152,150,fat
183,67,normal
162,196,fat
177,177,fat
161,50,normal
193,39,thin
150,66,fat
196,171,fat
159,138,fat
169,177,fat
163,57,normal
178,172,fat
155,165,fat
161,110,fat
154,76,fat
175,41,thin
171,37,thin
159,62,normal
155,37,thin
167,129,fat
166,112,fat
196,126,fat
157,184,fat
160,147,fat
188,59,thin
194,146,fat
200,139,fat
173,106,fat
173,62,normal
156,118,fat
167,93,fat
194,118,fat
166,157,fat
180,122,fat
150,65,fat
155,137,fat
150,75,fat
164,147,fat
181,172,fat
175,133,fat
194,52,thin
155,75,fat
188,149,fat
160,149,fat
169,176,fat
169,95,fat
153,35,thin
162,115,fat
181,135,fat
185,115,fat
198,79,normal
158,51,normal
176,68,normal
155,194,fat
171,132,fat
150,116,fat
179,105,fat
172,54,thin
169,121,fat
171,40,thin
156,121,fat
177,95,fat
167,84,fat
153,141,fat
158,87,fat
199,193,fat
150,93,fat
168,62,normal
153,71,fat
151,129,fat
184,57,thin
173,88,fat
161,146,fat
189,65,thin
155,55,normal
198,178,fat
172,157,fat
161,70,fat
190,80,normal
196,162,fat
171,144,fat
156,82,fat
197,73,normal
169,148,fat
198,64,thin
153,42,thin
180,49,thin
153,166,fat
196,96,normal
199,116,fat
195,38,thin
169,77,fat
184,142,fat
190,141,fat
154,119,fat
157,45,thin
181,60,thin
153,155,fat
191,143,fat
199,183,fat
169,200,fat
183,158,fat
181,144,fat
187,97,fat
185,156,fat
175,68,normal
190,85,normal
187,36,thin
179,119,fat
160,94,fat
180,106,fat
183,187,fat
196,53,thin
163,72,fat
161,193,fat
151,78,fat
181,178,fat
191,144,fat
164,187,fat
194,140,fat
192,146,fat
160,80,fat
193,123,fat
185,162,fat
170,79,fat
178,79,normal
151,173,fat
156,98,fat
200,190,fat
166,140,fat
186,107,fat
178,121,fat
190,151,fat
177,51,thin
194,194,fat
150,66,fat
190,168,fat
157,172,fat
182,173,fat
152,72,fat
198,85,normal
184,50,thin
151,66,fat
177,133,fat
178,194,fat
151,191,fat
178,133,fat
152,80,fat
172,50,thin
162,137,fat
156,103,fat
192,198,fat
185,106,fat
174,177,fat
162,135,fat
163,116,fat
165,62,normal
160,88,fat
196,160,fat
188,151,fat
199,84,normal
198,75,normal
190,64,thin
184,50,thin
155,181,fat
159,145,fat
200,131,fat
173,66,normal
182,133,fat
188,175,fat
181,191,fat
192,145,fat
153,91,fat
159,103,fat
180,149,fat
157,119,fat
168,35,thin
163,96,fat
194,163,fat
176,192,fat
189,67,normal
155,44,thin
175,42,thin
182,200,fat
167,113,fat
164,73,fat
152,37,thin
189,149,fat
198,189,fat
189,157,fat
152,123,fat
156,197,fat
198,37,thin
161,106,fat
187,194,fat
189,160,fat
161,69,fat
181,130,fat
186,187,fat
152,61,fat
179,127,fat
170,136,fat
164,180,fat
176,115,fat
157,91,fat
168,155,fat
158,136,fat
169,195,fat
195,71,normal
154,93,fat
154,83,fat
197,71,thin
199,184,fat
176,66,normal
169,63,normal
194,183,fat
156,103,fat
177,158,fat
185,71,normal
191,97,fat
170,141,fat
162,146,fat
161,82,fat
184,188,fat
197,98,fat
166,113,fat
168,152,fat
166,161,fat
158,104,fat
159,169,fat
162,167,fat
197,93,normal
162,190,fat
189,118,fat
150,37,thin
186,189,fat
182,195,fat
195,65,thin
179,152,fat
200,79,normal
173,156,fat
197,192,fat
188,65,thin
169,173,fat
158,164,fat
177,138,fat
176,159,fat
186,129,fat
170,128,fat
179,113,fat
191,191,fat
172,192,fat
183,38,thin
179,79,normal
186,200,fat
167,149,fat
151,123,fat
184,166,fat
196,68,thin
176,200,fat
184,128,fat
160,71,fat
193,193,fat
197,116,fat
200,58,thin
182,181,fat
177,91,fat
158,112,fat
195,186,fat
167,165,fat
176,36,thin
155,92,fat
185,144,fat
193,162,fat
166,61,normal
163,131,fat
180,106,fat
178,125,fat
189,91,fat
183,62,normal
187,187,fat
192,117,fat
185,56,thin
160,149,fat
157,145,fat
180,173,fat
152,166,fat
158,155,fat
181,143,fat
186,198,fat
174,92,fat
165,93,fat
196,177,fat
179,111,fat
196,190,fat
196,139,fat
196,102,fat
186,184,fat
182,66,normal
198,138,fat
174,122,fat
190,43,thin
195,87,normal
155,37,thin
166,57,normal
160,166,fat
193,93,normal
182,61,thin
152,158,fat
189,93,fat
185,106,fat
193,175,fat
151,104,fat
200,36,thin
177,127,fat
186,83,normal
182,37,thin
171,165,fat
170,46,thin
192,42,thin
172,141,fat
179,161,fat
151,188,fat
179,146,fat
183,99,fat
174,73,normal
151,169,fat
178,174,fat
190,130,fat
175,164,fat
176,68,normal
173,175,fat
171,194,fat
191,166,fat
187,68,normal
185,189,fat
150,129,fat
185,90,fat
153,101,fat
183,111,fat
164,62,normal
188,106,fat
160,38,thin
170,47,thin
199,169,fat
187,52,thin
158,99,fat
174,40,thin
154,140,fat
173,183,fat
187,99,fat
156,165,fat
164,99,fat
196,188,fat
183,153,fat
191,196,fat
182,53,thin
182,193,fat
177,128,fat
185,179,fat
160,117,fat
174,48,thin
181,44,thin
184,145,fat
184,110,fat
189,63,thin
150,126,fat
186,60,thin
192,126,fat
169,101,fat
197,48,thin
168,93,fat
185,122,fat
185,111,fat
176,57,thin
175,200,fat
167,123,fat
156,100,fat
155,177,fat
183,161,fat
156,55,normal
150,122,fat
179,44,thin
154,163,fat
178,35,thin
185,116,fat
191,84,normal
171,181,fat
154,67,fat
180,75,normal
178,122,fat
180,131,fat
197,119,fat
161,146,fat
151,180,fat
160,190,fat
195,63,thin
164,53,normal
173,132,fat
194,48,thin
155,113,fat
179,196,fat
178,93,fat
200,63,thin
166,151,fat
173,101,fat
175,47,thin
161,109,fat
156,86,fat
185,183,fat
198,100,fat
182,114,fat
193,72,normal
188,84,normal
192,125,fat
164,179,fat
165,127,fat
153,141,fat
195,170,fat
200,61,thin
152,64,fat
159,161,fat
182,157,fat
166,179,fat
170,160,fat
182,100,fat
164,167,fat
166,95,fat
156,53,normal
192,89,normal
183,82,normal
184,117,fat
172,122,fat
177,36,thin
174,68,normal
187,190,fat
152,162,fat
173,86,fat
178,104,fat
175,70,normal
158,181,fat
180,152,fat
161,196,fat
187,80,normal
194,116,fat
169,200,fat
156,63,fat
156,174,fat
195,110,fat
189,157,fat
185,63,thin
172,61,normal
182,39,thin
161,120,fat
195,124,fat
168,192,fat
168,181,fat
190,194,fat
163,86,fat
160,146,fat
169,63,normal
159,183,fat
176,81,fat
182,183,fat
161,165,fat
174,151,fat
175,68,normal
180,71,normal
150,115,fat
151,175,fat
158,47,normal
190,130,fat
163,111,fat
199,137,fat
197,148,fat
160,101,fat
169,165,fat
154,200,fat
186,109,fat
192,62,thin
150,111,fat
160,60,normal
169,174,fat
186,166,fat
199,64,thin
199,162,fat
174,114,fat
159,104,fat
154,164,fat
169,106,fat
182,81,normal
178,79,normal
150,119,fat
156,95,fat
191,84,normal
199,161,fat
158,127,fat
159,47,normal
191,157,fat
194,169,fat
188,100,fat
188,66,normal
164,133,fat
199,76,normal
157,48,normal
184,76,normal
165,162,fat
158,47,normal
155,153,fat
162,151,fat
184,82,normal
174,63,normal
161,71,fat
172,120,fat
163,40,thin
191,52,thin
184,79,normal
172,130,fat
176,100,fat
160,73,fat
198,197,fat
193,42,thin
164,93,fat
178,74,normal
191,106,fat
155,124,fat
189,197,fat
153,174,fat
191,167,fat
194,176,fat
150,118,fat
198,163,fat
197,161,fat
154,172,fat
194,131,fat
158,58,normal
166,102,fat
172,154,fat
157,113,fat
160,63,normal
195,109,fat
189,198,fat
169,147,fat
159,42,thin
167,62,normal
160,169,fat
154,144,fat
179,142,fat
161,43,thin
188,35,thin
163,90,fat
166,196,fat
175,107,fat
183,131,fat
166,191,fat
185,47,thin
161,40,thin
187,46,thin
184,113,fat
191,182,fat
180,56,thin
159,177,fat
158,52,normal
182,120,fat
173,100,fat
171,179,fat
190,192,fat
167,135,fat
174,64,normal
168,89,fat
177,109,fat
171,185,fat
190,95,fat
173,169,fat
180,74,normal
175,48,thin
161,53,normal
192,68,thin
199,191,fat
158,53,normal
187,168,fat
150,43,normal
199,193,fat
150,140,fat
172,52,thin
172,70,normal
163,114,fat
193,108,fat
159,58,normal
171,61,normal
189,112,fat
161,99,fat
162,78,fat
195,43,thin
178,133,fat
195,155,fat
163,138,fat
186,156,fat
189,108,fat
150,128,fat
159,111,fat
192,74,normal
152,186,fat
165,119,fat
154,45,normal
162,170,fat
172,117,fat
181,81,normal
165,105,fat
164,144,fat
166,111,fat
196,84,normal
167,165,fat
167,146,fat
166,122,fat
166,75,fat
195,169,fat
153,153,fat
199,122,fat
198,83,normal
196,105,fat
175,177,fat
162,182,fat
166,47,thin
176,127,fat
186,143,fat
166,169,fat
185,83,normal
177,91,fat
174,200,fat
182,116,fat
181,44,thin
184,96,fat
195,142,fat
156,193,fat
182,52,thin
192,161,fat
155,75,fat
163,42,thin
183,113,fat
166,120,fat
185,57,thin
150,88,fat
188,96,fat
153,159,fat
156,117,fat
171,164,fat
173,103,fat
193,149,fat
190,73,normal
171,67,normal
164,138,fat
154,52,normal
188,181,fat
179,129,fat
173,91,fat
192,77,normal
164,138,fat
184,41,thin
165,125,fat
162,139,fat
178,178,fat
174,63,normal
158,128,fat
164,73,fat
162,136,fat
187,192,fat
187,81,normal
161,130,fat
192,178,fat
195,195,fat
165,173,fat
157,71,fat
194,160,fat
166,155,fat
156,49,normal
173,65,normal
162,178,fat
183,107,fat
153,187,fat
197,85,normal
162,87,fat
167,46,thin
152,76,fat
173,129,fat
196,49,thin
194,170,fat
154,195,fat
180,148,fat
191,175,fat
195,101,fat
180,103,fat
185,196,fat
188,59,thin
151,199,fat
189,142,fat
195,76,normal
176,118,fat
177,52,thin
177,178,fat
187,146,fat
184,151,fat
175,43,thin
168,185,fat
185,94,fat
184,190,fat
166,60,normal
156,189,fat
184,81,normal
151,62,fat
156,199,fat
159,174,fat
186,200,fat
165,135,fat
173,59,normal
199,96,normal
191,101,fat
199,137,fat
155,64,fat
153,164,fat
172,96,fat
181,197,fat
188,138,fat
150,76,fat
197,56,thin
159,145,fat
163,74,fat
181,140,fat
160,186,fat
159,146,fat
154,86,fat
150,90,fat
151,99,fat
159,190,fat
155,113,fat
175,85,fat
185,71,normal
180,161,fat
174,158,fat
161,172,fat
176,184,fat
160,98,fat
157,60,normal
190,94,fat
171,52,thin
169,99,fat
177,53,thin
188,62,thin
178,102,fat
182,45,thin
157,120,fat
191,71,normal
182,81,normal
175,117,fat
182,107,fat
183,159,fat
171,58,normal
197,62,thin
185,182,fat
200,171,fat
196,110,fat
172,40,thin
170,154,fat
157,121,fat
165,147,fat
197,91,normal
183,192,fat
182,50,thin
158,107,fat
194,87,normal
170,175,fat
200,159,fat
154,113,fat
195,131,fat
156,187,fat
160,137,fat
176,59,normal
154,87,fat
199,105,fat
170,108,fat
180,158,fat
171,142,fat
160,93,fat
196,98,fat
171,103,fat
193,41,thin
188,128,fat
192,143,fat
160,194,fat
199,89,normal
156,78,fat
156,189,fat
189,88,normal
166,165,fat
166,93,fat
150,72,fat
168,149,fat
182,174,fat
155,154,fat
174,196,fat
191,90,normal
182,181,fat
152,108,fat
152,94,fat
156,132,fat
161,159,fat
192,38,thin
179,108,fat
189,169,fat
169,198,fat
191,143,fat
187,146,fat
172,40,thin
186,37,thin
182,178,fat
151,68,fat
192,44,thin
168,181,fat
198,78,normal
175,181,fat
164,62,normal
153,49,normal
192,160,fat
180,100,fat
192,61,thin
190,156,fat
156,64,fat
192,70,normal
163,157,fat
166,174,fat
183,127,fat
173,134,fat
172,93,fat
196,159,fat
181,71,normal
176,106,fat
158,132,fat
167,52,normal
160,46,thin
185,58,thin
195,35,thin
181,56,thin
162,79,fat
181,157,fat
150,110,fat
162,119,fat
155,41,thin
169,35,thin
159,105,fat
194,56,thin
199,176,fat
163,37,thin
188,59,thin
190,105,fat
155,51,normal
169,197,fat
171,61,normal
151,120,fat
162,77,fat
153,68,fat
154,86,fat
165,42,thin
196,200,fat
194,77,normal
170,128,fat
152,87,fat
167,109,fat
164,83,fat
177,48,thin
166,190,fat
180,186,fat
198,136,fat
158,83,fat
182,165,fat
178,183,fat
173,179,fat
181,53,thin
155,86,fat
157,65,fat
155,80,fat
188,103,fat
186,78,normal
190,46,thin
167,100,fat
188,51,thin
177,186,fat
166,79,fat
185,176,fat
174,171,fat
200,88,normal
188,185,fat
195,73,normal
196,101,fat
198,53,thin
169,100,fat
163,78,fat
154,182,fat
184,116,fat
178,96,fat
153,64,fat
176,137,fat
158,159,fat
200,135,fat
192,58,thin
151,170,fat
170,120,fat
195,141,fat
152,120,fat
196,100,fat
176,61,normal
174,166,fat
167,98,fat
192,64,thin
166,36,thin
165,113,fat
175,185,fat
158,91,fat
174,134,fat
161,120,fat
165,164,fat
168,163,fat
184,141,fat
171,51,thin
171,136,fat
168,198,fat
168,74,fat
193,59,thin
184,166,fat
182,94,fat
157,51,normal
196,126,fat
163,173,fat
150,68,fat
197,100,fat
167,149,fat
151,147,fat
172,70,normal
196,168,fat
154,85,fat
197,190,fat
169,121,fat
182,103,fat
163,142,fat
173,190,fat
183,195,fat
198,85,normal
190,82,normal
157,58,normal
175,135,fat
154,180,fat
192,107,fat
194,198,fat
179,117,fat
197,189,fat
153,162,fat
195,117,fat
187,139,fat
170,80,fat
173,57,normal
156,126,fat
169,191,fat
182,85,fat
159,49,normal
173,126,fat
173,40,thin
167,185,fat
175,177,fat
187,108,fat
168,110,fat
173,63,normal
190,109,fat
195,152,fat
154,107,fat
182,75,normal
187,165,fat
157,48,normal
168,121,fat
180,141,fat
165,72,fat
168,183,fat
194,115,fat
195,80,normal
191,93,fat
188,119,fat
194,77,normal
166,99,fat
183,96,fat
163,108,fat
192,155,fat
178,187,fat
200,93,normal
156,98,fat
199,43,thin
166,54,normal
193,103,fat
194,122,fat
176,109,fat
155,67,fat
161,123,fat
151,105,fat
161,86,fat
160,128,fat
163,137,fat
174,36,thin
157,187,fat
176,182,fat
154,84,fat
172,126,fat
187,195,fat
172,170,fat
171,188,fat
169,75,fat
183,45,thin
168,178,fat
167,93,fat
179,39,thin
196,192,fat
150,141,fat
168,174,fat
162,82,fat
173,109,fat
187,62,thin
183,63,normal
171,99,fat
191,142,fat
169,62,normal
188,170,fat
178,48,thin
180,62,normal
178,64,normal
166,106,fat
162,92,fat
199,61,thin
183,42,thin
198,89,normal
171,57,normal
158,150,fat
152,72,fat
176,137,fat
159,123,fat
197,158,fat
152,177,fat
195,101,fat
156,177,fat
200,180,fat
168,99,fat
178,49,thin
196,52,thin
174,104,fat
183,70,normal
152,106,fat
189,78,normal
164,98,fat
163,197,fat
163,109,fat
178,133,fat
199,114,fat
188,149,fat
191,87,normal
198,56,thin
181,196,fat
162,72,fat
159,195,fat
153,63,fat
199,135,fat
199,116,fat
159,40,thin
170,42,thin
163,65,normal
181,119,fat
186,181,fat
157,80,fat
158,85,fat
163,96,fat
177,181,fat
191,110,fat
193,181,fat
179,140,fat
170,152,fat
164,180,fat
189,82,normal
173,189,fat
177,95,fat
192,191,fat
165,149,fat
169,163,fat
195,180,fat
155,90,fat
155,92,fat
168,43,thin
162,112,fat
155,54,normal
166,121,fat
180,198,fat
185,116,fat
187,40,thin
197,126,fat
200,198,fat
181,172,fat
165,98,fat
171,123,fat
190,151,fat
186,144,fat
174,119,fat
175,182,fat
160,139,fat
198,93,normal
168,188,fat
192,124,fat
160,75,fat
151,117,fat
194,122,fat
189,182,fat
164,49,thin
196,107,fat
177,169,fat
157,95,fat
154,78,fat
162,149,fat
194,49,thin
199,74,normal
163,103,fat
177,124,fat
171,66,normal
170,85,fat
170,36,thin
165,143,fat
197,155,fat
170,36,thin
169,94,fat
171,196,fat
189,112,fat
151,52,normal
178,55,thin
157,175,fat
171,63,normal
167,143,fat
159,200,fat
174,87,fat
168,87,fat
153,149,fat
186,36,thin
160,200,fat
179,86,fat
153,147,fat
153,116,fat
189,71,normal
176,181,fat
176,50,thin
177,139,fat
165,187,fat
197,151,fat
183,150,fat
169,68,normal
163,65,normal
159,89,fat
192,124,fat
183,70,normal
181,54,thin
160,137,fat
181,104,fat
153,132,fat
181,87,fat
200,120,fat
186,146,fat
188,138,fat
191,90,normal
197,103,fat
177,191,fat
171,42,thin
166,139,fat
197,104,fat
184,150,fat
186,161,fat
162,165,fat
161,152,fat
150,49,normal
151,168,fat
198,134,fat
154,143,fat
169,77,fat
162,153,fat
188,138,fat
184,137,fat
175,82,fat
193,196,fat
194,110,fat
167,170,fat
198,138,fat
165,77,fat
184,49,thin
163,62,normal
160,175,fat
178,139,fat
156,90,fat
175,61,normal
156,97,fat
156,55,normal
190,161,fat
170,148,fat
151,43,normal
181,69,normal
166,198,fat
179,109,fat
190,48,thin
178,108,fat
177,53,thin
153,127,fat
160,169,fat
192,182,fat
197,126,fat
168,159,fat
157,173,fat
192,133,fat
190,145,fat
155,57,normal
154,184,fat
158,196,fat
150,79,fat
170,108,fat
170,145,fat
161,151,fat
185,93,fat
194,93,normal
155,98,fat
179,136,fat
159,51,normal
191,124,fat
193,179,fat
161,122,fat
183,131,fat
196,166,fat
194,185,fat
168,120,fat
178,196,fat
176,114,fat
154,90,fat
154,167,fat
176,164,fat
152,37,thin
192,117,fat
160,159,fat
160,131,fat
151,120,fat
174,101,fat
189,75,normal
193,61,thin
158,63,fat
191,122,fat
179,95,fat
161,160,fat
189,166,fat
160,55,normal
187,183,fat
159,117,fat
166,136,fat
166,35,thin
157,192,fat
199,111,fat
193,40,thin
192,176,fat
185,45,thin
181,140,fat
183,62,normal
180,146,fat
169,162,fat
163,105,fat
198,99,fat
189,156,fat
156,115,fat
191,140,fat
154,138,fat
196,77,normal
194,109,fat
174,137,fat
171,119,fat
150,167,fat
156,88,fat
185,80,normal
199,196,fat
170,192,fat
168,176,fat
181,35,thin
189,86,normal
198,40,thin
152,58,fat
174,81,fat
180,161,fat
196,130,fat
189,151,fat
181,65,normal
155,137,fat
154,195,fat
167,178,fat
171,157,fat
183,196,fat
193,63,thin
186,131,fat
188,126,fat
171,181,fat
150,40,thin
154,66,fat
189,151,fat
158,104,fat
180,160,fat
194,157,fat
188,175,fat
169,114,fat
170,159,fat
172,94,fat
154,147,fat
164,134,fat
192,141,fat
197,176,fat
186,100,fat
176,105,fat
170,127,fat
189,200,fat
165,119,fat
173,116,fat
157,142,fat
179,164,fat
153,197,fat
166,121,fat
172,52,thin
179,49,thin
157,198,fat
173,187,fat
152,192,fat
178,41,thin
156,140,fat
159,99,fat
165,193,fat
175,96,fat
191,64,thin
152,150,fat
156,77,fat
193,80,normal
170,184,fat
169,38,thin
160,122,fat
179,147,fat
177,37,thin
198,114,fat
189,198,fat
199,111,fat
194,181,fat
177,37,thin
162,40,thin
179,103,fat
154,135,fat
173,43,thin
168,89,fat
181,37,thin
194,56,thin
198,193,fat
163,155,fat
170,45,thin
178,38,thin
168,140,fat
168,180,fat
193,62,thin
185,61,thin
166,167,fat
198,194,fat
192,67,thin
166,76,fat
162,103,fat
194,199,fat
188,156,fat
176,173,fat
151,55,normal
153,42,thin
155,54,normal
172,170,fat
150,143,fat
165,143,fat
156,114,fat
185,76,normal
150,71,fat
169,61,normal
151,160,fat
175,42,thin
161,145,fat
195,98,fat
162,193,fat
192,131,fat
151,46,normal
163,178,fat
178,161,fat
171,123,fat
153,195,fat
199,47,thin
178,63,normal
199,172,fat
152,164,fat
199,37,thin
162,143,fat
174,138,fat
175,132,fat
199,113,fat
190,86,normal
165,179,fat
183,170,fat
150,45,normal
155,96,fat
155,179,fat
182,97,fat
196,91,normal
166,130,fat
177,159,fat
165,75,fat
150,70,fat
195,39,thin
200,105,fat
189,99,fat
157,65,fat
150,166,fat
178,112,fat
184,109,fat
173,187,fat
189,127,fat
153,113,fat
189,171,fat
153,104,fat
180,89,fat
187,130,fat
183,91,fat
185,142,fat
193,142,fat
151,37,thin
199,160,fat
189,191,fat
152,83,fat
156,172,fat
193,51,thin
165,96,fat
189,109,fat
169,151,fat
156,107,fat
155,62,fat
150,184,fat
185,41,thin
153,113,fat
162,112,fat
155,56,normal
191,130,fat
175,131,fat
160,132,fat
169,184,fat
166,160,fat
199,50,thin
200,183,fat
184,51,thin
188,157,fat
155,146,fat
171,163,fat
175,150,fat
172,35,thin
171,102,fat
174,44,thin
153,122,fat
190,178,fat
163,143,fat
159,101,fat
188,86,normal
172,121,fat
189,87,normal
168,113,fat
182,35,thin
177,119,fat
175,151,fat
181,58,thin
162,123,fat
187,93,fat
176,71,normal
159,165,fat
191,90,normal
183,102,fat
190,155,fat
187,71,normal
155,85,fat
176,162,fat
173,86,fat
192,127,fat
179,132,fat
174,156,fat
155,187,fat
168,35,thin
151,173,fat
168,97,fat
153,72,fat
161,147,fat
195,81,normal
157,119,fat
181,196,fat
167,130,fat
154,75,fat
159,87,fat
182,102,fat
187,128,fat
161,146,fat
151,92,fat
159,86,fat
185,156,fat
194,68,thin
192,101,fat
173,73,normal
150,85,fat
165,87,fat
171,65,normal
161,137,fat
167,197,fat
171,139,fat
200,163,fat
161,48,normal
183,64,normal
198,120,fat
198,41,thin
156,114,fat
178,82,fat
195,118,fat
194,61,thin
194,117,fat
167,49,thin
187,143,fat
172,174,fat
155,102,fat
169,112,fat
171,158,fat
157,104,fat
159,176,fat
185,88,fat
195,158,fat
169,78,fat
193,49,thin
164,181,fat
175,143,fat
156,86,fat
163,99,fat
185,62,thin
153,77,fat
153,85,fat
187,152,fat
159,70,fat
168,162,fat
185,98,fat
165,110,fat
197,101,fat
200,163,fat
